id,price
Cabai Rawit Merah/Aceh/2024-10-01,26051.498046875
Cabai Rawit Merah/Aceh/2024-10-02,18375.85546875
Cabai Rawit Merah/Aceh/2024-10-03,18383.048828125
Cabai Rawit Merah/Aceh/2024-10-04,18230.83203125
Cabai Rawit Merah/Aceh/2024-10-05,18376.802734375
Cabai Rawit Merah/Aceh/2024-10-06,18414.416015625
Cabai Rawit Merah/Aceh/2024-10-07,18349.84375
Cabai Rawit Merah/Aceh/2024-10-08,18400.0546875
Cabai Rawit Merah/Aceh/2024-10-09,18383.12890625
Cabai Rawit Merah/Aceh/2024-10-10,18388.203125
Cabai Rawit Merah/Aceh/2024-10-11,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-12,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-13,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-14,18603.5546875
Cabai Rawit Merah/Aceh/2024-10-15,18603.5546875
Cabai Rawit Merah/Aceh/2024-10-16,18612.75390625
Cabai Rawit Merah/Aceh/2024-10-17,18612.75390625
Cabai Rawit Merah/Aceh/2024-10-18,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-19,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-20,18604.98828125
Cabai Rawit Merah/Aceh/2024-10-21,18603.5546875
Cabai Rawit Merah/Aceh/2024-10-22,18603.5546875
Cabai Rawit Merah/Aceh/2024-10-23,18612.75390625
Cabai Rawit Merah/Aceh/2024-10-24,18612.75390625
Cabai Rawit Merah/Aceh/2024-10-25,18619.62890625
Cabai Rawit Merah/Aceh/2024-10-26,18619.62890625
Cabai Rawit Merah/Aceh/2024-10-27,18619.62890625
Cabai Rawit Merah/Aceh/2024-10-28,18637.501953125
Cabai Rawit Merah/Aceh/2024-10-29,18637.501953125
Cabai Rawit Merah/Aceh/2024-10-30,18646.701171875
Cabai Rawit Merah/Aceh/2024-10-31,18646.701171875
Cabai Rawit Merah/Aceh/2024-11-01,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-02,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-03,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-04,18637.501953125
Cabai Rawit Merah/Aceh/2024-11-05,18637.501953125
Cabai Rawit Merah/Aceh/2024-11-06,18646.701171875
Cabai Rawit Merah/Aceh/2024-11-07,18646.701171875
Cabai Rawit Merah/Aceh/2024-11-08,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-09,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-10,18638.935546875
Cabai Rawit Merah/Aceh/2024-11-11,18637.501953125
Cabai Rawit Merah/Aceh/2024-11-12,18637.501953125
Cabai Rawit Merah/Aceh/2024-11-13,18632.013671875
Cabai Rawit Merah/Aceh/2024-11-14,18665.814453125
Cabai Rawit Merah/Aceh/2024-11-15,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-16,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-17,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-18,18656.615234375
Cabai Rawit Merah/Aceh/2024-11-19,18656.615234375
Cabai Rawit Merah/Aceh/2024-11-20,18665.814453125
Cabai Rawit Merah/Aceh/2024-11-21,18665.814453125
Cabai Rawit Merah/Aceh/2024-11-22,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-23,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-24,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-25,18656.615234375
Cabai Rawit Merah/Aceh/2024-11-26,18656.615234375
Cabai Rawit Merah/Aceh/2024-11-27,18665.814453125
Cabai Rawit Merah/Aceh/2024-11-28,18665.814453125
Cabai Rawit Merah/Aceh/2024-11-29,18658.044921875
Cabai Rawit Merah/Aceh/2024-11-30,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-01,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-02,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-03,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-04,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-05,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-06,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-07,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-08,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-09,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-10,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-11,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-12,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-13,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-14,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-15,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-16,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-17,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-18,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-19,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-20,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-21,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-22,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-23,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-24,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-25,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-26,18665.814453125
Cabai Rawit Merah/Aceh/2024-12-27,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-28,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-29,18658.044921875
Cabai Rawit Merah/Aceh/2024-12-30,18656.615234375
Cabai Rawit Merah/Aceh/2024-12-31,18656.615234375
Cabai Rawit Merah/Bali/2024-10-01,24419.7109375
Cabai Rawit Merah/Bali/2024-10-02,24796.85546875
Cabai Rawit Merah/Bali/2024-10-03,24702.267578125
Cabai Rawit Merah/Bali/2024-10-04,24691.40625
Cabai Rawit Merah/Bali/2024-10-05,24691.1171875
Cabai Rawit Merah/Bali/2024-10-06,24682.447265625
Cabai Rawit Merah/Bali/2024-10-07,24697.306640625
Cabai Rawit Merah/Bali/2024-10-08,24669.11328125
Cabai Rawit Merah/Bali/2024-10-09,24669.11328125
Cabai Rawit Merah/Bali/2024-10-10,24659.8359375
Cabai Rawit Merah/Bali/2024-10-11,24639.115234375
Cabai Rawit Merah/Bali/2024-10-12,24669.234375
Cabai Rawit Merah/Bali/2024-10-13,24658.556640625
Cabai Rawit Merah/Bali/2024-10-14,24706.68359375
Cabai Rawit Merah/Bali/2024-10-15,24681.66015625
Cabai Rawit Merah/Bali/2024-10-16,24714.220703125
Cabai Rawit Merah/Bali/2024-10-17,24704.943359375
Cabai Rawit Merah/Bali/2024-10-18,24704.943359375
Cabai Rawit Merah/Bali/2024-10-19,24735.0625
Cabai Rawit Merah/Bali/2024-10-20,24567.068359375
Cabai Rawit Merah/Bali/2024-10-21,24634.9453125
Cabai Rawit Merah/Bali/2024-10-22,24609.921875
Cabai Rawit Merah/Bali/2024-10-23,24556.904296875
Cabai Rawit Merah/Bali/2024-10-24,24547.626953125
Cabai Rawit Merah/Bali/2024-10-25,24547.626953125
Cabai Rawit Merah/Bali/2024-10-26,24577.74609375
Cabai Rawit Merah/Bali/2024-10-27,24567.068359375
Cabai Rawit Merah/Bali/2024-10-28,24667.02734375
Cabai Rawit Merah/Bali/2024-10-29,24642.00390625
Cabai Rawit Merah/Bali/2024-10-30,24652.50390625
Cabai Rawit Merah/Bali/2024-10-31,24631.181640625
Cabai Rawit Merah/Bali/2024-11-01,24631.181640625
Cabai Rawit Merah/Bali/2024-11-02,24661.30078125
Cabai Rawit Merah/Bali/2024-11-03,24627.18359375
Cabai Rawit Merah/Bali/2024-11-04,24642.04296875
Cabai Rawit Merah/Bali/2024-11-05,24617.01953125
Cabai Rawit Merah/Bali/2024-11-06,24617.01953125
Cabai Rawit Merah/Bali/2024-11-07,24607.7421875
Cabai Rawit Merah/Bali/2024-11-08,24607.7421875
Cabai Rawit Merah/Bali/2024-11-09,24637.861328125
Cabai Rawit Merah/Bali/2024-11-10,24627.18359375
Cabai Rawit Merah/Bali/2024-11-11,24671.646484375
Cabai Rawit Merah/Bali/2024-11-12,24646.623046875
Cabai Rawit Merah/Bali/2024-11-13,24646.623046875
Cabai Rawit Merah/Bali/2024-11-14,24818.580078125
Cabai Rawit Merah/Bali/2024-11-15,24818.580078125
Cabai Rawit Merah/Bali/2024-11-16,24776.30859375
Cabai Rawit Merah/Bali/2024-11-17,24820.345703125
Cabai Rawit Merah/Bali/2024-11-18,24793.267578125
Cabai Rawit Merah/Bali/2024-11-19,24768.244140625
Cabai Rawit Merah/Bali/2024-11-20,24790.25390625
Cabai Rawit Merah/Bali/2024-11-21,24818.580078125
Cabai Rawit Merah/Bali/2024-11-22,24818.580078125
Cabai Rawit Merah/Bali/2024-11-23,24816.779296875
Cabai Rawit Merah/Bali/2024-11-24,24820.345703125
Cabai Rawit Merah/Bali/2024-11-25,24793.267578125
Cabai Rawit Merah/Bali/2024-11-26,24768.244140625
Cabai Rawit Merah/Bali/2024-11-27,24790.25390625
Cabai Rawit Merah/Bali/2024-11-28,24818.580078125
Cabai Rawit Merah/Bali/2024-11-29,24818.580078125
Cabai Rawit Merah/Bali/2024-11-30,24942.193359375
Cabai Rawit Merah/Bali/2024-12-01,25043.982421875
Cabai Rawit Merah/Bali/2024-12-02,25028.04296875
Cabai Rawit Merah/Bali/2024-12-03,25003.01953125
Cabai Rawit Merah/Bali/2024-12-04,25025.029296875
Cabai Rawit Merah/Bali/2024-12-05,25053.35546875
Cabai Rawit Merah/Bali/2024-12-06,25053.35546875
Cabai Rawit Merah/Bali/2024-12-07,25040.416015625
Cabai Rawit Merah/Bali/2024-12-08,25043.982421875
Cabai Rawit Merah/Bali/2024-12-09,25028.04296875
Cabai Rawit Merah/Bali/2024-12-10,25003.01953125
Cabai Rawit Merah/Bali/2024-12-11,25050.02734375
Cabai Rawit Merah/Bali/2024-12-12,25078.353515625
Cabai Rawit Merah/Bali/2024-12-13,25078.353515625
Cabai Rawit Merah/Bali/2024-12-14,25065.4140625
Cabai Rawit Merah/Bali/2024-12-15,25068.98046875
Cabai Rawit Merah/Bali/2024-12-16,25053.041015625
Cabai Rawit Merah/Bali/2024-12-17,25028.017578125
Cabai Rawit Merah/Bali/2024-12-18,25050.02734375
Cabai Rawit Merah/Bali/2024-12-19,25078.353515625
Cabai Rawit Merah/Bali/2024-12-20,25078.353515625
Cabai Rawit Merah/Bali/2024-12-21,25065.4140625
Cabai Rawit Merah/Bali/2024-12-22,25068.98046875
Cabai Rawit Merah/Bali/2024-12-23,25053.041015625
Cabai Rawit Merah/Bali/2024-12-24,25028.017578125
Cabai Rawit Merah/Bali/2024-12-25,25050.02734375
Cabai Rawit Merah/Bali/2024-12-26,25078.353515625
Cabai Rawit Merah/Bali/2024-12-27,25078.353515625
Cabai Rawit Merah/Bali/2024-12-28,25065.4140625
Cabai Rawit Merah/Bali/2024-12-29,25068.98046875
Cabai Rawit Merah/Bali/2024-12-30,25053.041015625
Cabai Rawit Merah/Bali/2024-12-31,25028.017578125
Cabai Rawit Merah/Banten/2024-10-01,36605.875
Cabai Rawit Merah/Banten/2024-10-02,36605.875
Cabai Rawit Merah/Banten/2024-10-03,36110.16796875
Cabai Rawit Merah/Banten/2024-10-04,36100.734375
Cabai Rawit Merah/Banten/2024-10-05,36084.67578125
Cabai Rawit Merah/Banten/2024-10-06,36089.4609375
Cabai Rawit Merah/Banten/2024-10-07,36605.875
Cabai Rawit Merah/Banten/2024-10-08,36605.875
Cabai Rawit Merah/Banten/2024-10-09,36605.875
Cabai Rawit Merah/Banten/2024-10-10,36110.16796875
Cabai Rawit Merah/Banten/2024-10-11,36129.3671875
Cabai Rawit Merah/Banten/2024-10-12,36084.67578125
Cabai Rawit Merah/Banten/2024-10-13,36089.4609375
Cabai Rawit Merah/Banten/2024-10-14,36605.875
Cabai Rawit Merah/Banten/2024-10-15,36605.875
Cabai Rawit Merah/Banten/2024-10-16,36605.875
Cabai Rawit Merah/Banten/2024-10-17,36110.16796875
Cabai Rawit Merah/Banten/2024-10-18,36129.3671875
Cabai Rawit Merah/Banten/2024-10-19,36084.67578125
Cabai Rawit Merah/Banten/2024-10-20,36089.4609375
Cabai Rawit Merah/Banten/2024-10-21,36605.875
Cabai Rawit Merah/Banten/2024-10-22,36605.875
Cabai Rawit Merah/Banten/2024-10-23,36605.875
Cabai Rawit Merah/Banten/2024-10-24,36110.16796875
Cabai Rawit Merah/Banten/2024-10-25,36129.3671875
Cabai Rawit Merah/Banten/2024-10-26,36084.67578125
Cabai Rawit Merah/Banten/2024-10-27,36089.4609375
Cabai Rawit Merah/Banten/2024-10-28,36605.875
Cabai Rawit Merah/Banten/2024-10-29,36605.875
Cabai Rawit Merah/Banten/2024-10-30,36605.875
Cabai Rawit Merah/Banten/2024-10-31,36110.16796875
Cabai Rawit Merah/Banten/2024-11-01,36129.3671875
Cabai Rawit Merah/Banten/2024-11-02,36084.67578125
Cabai Rawit Merah/Banten/2024-11-03,36089.4609375
Cabai Rawit Merah/Banten/2024-11-04,36514.890625
Cabai Rawit Merah/Banten/2024-11-05,36514.890625
Cabai Rawit Merah/Banten/2024-11-06,36506.25390625
Cabai Rawit Merah/Banten/2024-11-07,36110.16796875
Cabai Rawit Merah/Banten/2024-11-08,36129.3671875
Cabai Rawit Merah/Banten/2024-11-09,36084.67578125
Cabai Rawit Merah/Banten/2024-11-10,36089.4609375
Cabai Rawit Merah/Banten/2024-11-11,36280.7578125
Cabai Rawit Merah/Banten/2024-11-12,36280.7578125
Cabai Rawit Merah/Banten/2024-11-13,36506.25390625
Cabai Rawit Merah/Banten/2024-11-14,36110.16796875
Cabai Rawit Merah/Banten/2024-11-15,36129.3671875
Cabai Rawit Merah/Banten/2024-11-16,36084.67578125
Cabai Rawit Merah/Banten/2024-11-17,36089.4609375
Cabai Rawit Merah/Banten/2024-11-18,36272.75390625
Cabai Rawit Merah/Banten/2024-11-19,36272.75390625
Cabai Rawit Merah/Banten/2024-11-20,36749.375
Cabai Rawit Merah/Banten/2024-11-21,36110.16796875
Cabai Rawit Merah/Banten/2024-11-22,36129.3671875
Cabai Rawit Merah/Banten/2024-11-23,36141.62890625
Cabai Rawit Merah/Banten/2024-11-24,36146.4140625
Cabai Rawit Merah/Banten/2024-11-25,36329.70703125
Cabai Rawit Merah/Banten/2024-11-26,36329.70703125
Cabai Rawit Merah/Banten/2024-11-27,36806.328125
Cabai Rawit Merah/Banten/2024-11-28,36462.046875
Cabai Rawit Merah/Banten/2024-11-29,36481.24609375
Cabai Rawit Merah/Banten/2024-11-30,36152.62890625
Cabai Rawit Merah/Banten/2024-12-01,36156.47265625
Cabai Rawit Merah/Banten/2024-12-02,36339.765625
Cabai Rawit Merah/Banten/2024-12-03,36339.765625
Cabai Rawit Merah/Banten/2024-12-04,36816.38671875
Cabai Rawit Merah/Banten/2024-12-05,36461.10546875
Cabai Rawit Merah/Banten/2024-12-06,36480.3046875
Cabai Rawit Merah/Banten/2024-12-07,36151.6875
Cabai Rawit Merah/Banten/2024-12-08,36129.9609375
Cabai Rawit Merah/Banten/2024-12-09,36313.25390625
Cabai Rawit Merah/Banten/2024-12-10,36257.92578125
Cabai Rawit Merah/Banten/2024-12-11,36685.53515625
Cabai Rawit Merah/Banten/2024-12-12,36610.94140625
Cabai Rawit Merah/Banten/2024-12-13,36630.140625
Cabai Rawit Merah/Banten/2024-12-14,36301.5234375
Cabai Rawit Merah/Banten/2024-12-15,36306.30859375
Cabai Rawit Merah/Banten/2024-12-16,36489.6015625
Cabai Rawit Merah/Banten/2024-12-17,36307.953125
Cabai Rawit Merah/Banten/2024-12-18,36784.57421875
Cabai Rawit Merah/Banten/2024-12-19,36429.29296875
Cabai Rawit Merah/Banten/2024-12-20,36483.8359375
Cabai Rawit Merah/Banten/2024-12-21,36155.21875
Cabai Rawit Merah/Banten/2024-12-22,36182.21875
Cabai Rawit Merah/Banten/2024-12-23,36333.65625
Cabai Rawit Merah/Banten/2024-12-24,36333.65625
Cabai Rawit Merah/Banten/2024-12-25,36810.27734375
Cabai Rawit Merah/Banten/2024-12-26,36454.99609375
Cabai Rawit Merah/Banten/2024-12-27,36474.1953125
Cabai Rawit Merah/Banten/2024-12-28,36145.578125
Cabai Rawit Merah/Banten/2024-12-29,36182.21875
Cabai Rawit Merah/Banten/2024-12-30,36333.65625
Cabai Rawit Merah/Banten/2024-12-31,36333.65625
Cabai Rawit Merah/Bengkulu/2024-10-01,29185.466796875
Cabai Rawit Merah/Bengkulu/2024-10-02,28866.466796875
Cabai Rawit Merah/Bengkulu/2024-10-03,28838.52734375
Cabai Rawit Merah/Bengkulu/2024-10-04,28587.126953125
Cabai Rawit Merah/Bengkulu/2024-10-05,28823.400390625
Cabai Rawit Merah/Bengkulu/2024-10-06,28860.76953125
Cabai Rawit Merah/Bengkulu/2024-10-07,28984.810546875
Cabai Rawit Merah/Bengkulu/2024-10-08,29064.033203125
Cabai Rawit Merah/Bengkulu/2024-10-09,29058.373046875
Cabai Rawit Merah/Bengkulu/2024-10-10,28965.87109375
Cabai Rawit Merah/Bengkulu/2024-10-11,28948.998046875
Cabai Rawit Merah/Bengkulu/2024-10-12,28988.158203125
Cabai Rawit Merah/Bengkulu/2024-10-13,29093.35546875
Cabai Rawit Merah/Bengkulu/2024-10-14,29053.248046875
Cabai Rawit Merah/Bengkulu/2024-10-15,28932.25390625
Cabai Rawit Merah/Bengkulu/2024-10-16,28926.59375
Cabai Rawit Merah/Bengkulu/2024-10-17,29061.138671875
Cabai Rawit Merah/Bengkulu/2024-10-18,29187.962890625
Cabai Rawit Merah/Bengkulu/2024-10-19,29227.123046875
Cabai Rawit Merah/Bengkulu/2024-10-20,29193.224609375
Cabai Rawit Merah/Bengkulu/2024-10-21,29169.900390625
Cabai Rawit Merah/Bengkulu/2024-10-22,29163.904296875
Cabai Rawit Merah/Bengkulu/2024-10-23,29158.244140625
Cabai Rawit Merah/Bengkulu/2024-10-24,29067.912109375
Cabai Rawit Merah/Bengkulu/2024-10-25,29075.279296875
Cabai Rawit Merah/Bengkulu/2024-10-26,29114.439453125
Cabai Rawit Merah/Bengkulu/2024-10-27,29080.541015625
Cabai Rawit Merah/Bengkulu/2024-10-28,29302.158203125
Cabai Rawit Merah/Bengkulu/2024-10-29,29296.162109375
Cabai Rawit Merah/Bengkulu/2024-10-30,29290.501953125
Cabai Rawit Merah/Bengkulu/2024-10-31,29067.912109375
Cabai Rawit Merah/Bengkulu/2024-11-01,29075.279296875
Cabai Rawit Merah/Bengkulu/2024-11-02,29114.439453125
Cabai Rawit Merah/Bengkulu/2024-11-03,29080.541015625
Cabai Rawit Merah/Bengkulu/2024-11-04,29302.158203125
Cabai Rawit Merah/Bengkulu/2024-11-05,29296.162109375
Cabai Rawit Merah/Bengkulu/2024-11-06,29290.501953125
Cabai Rawit Merah/Bengkulu/2024-11-07,29067.912109375
Cabai Rawit Merah/Bengkulu/2024-11-08,29075.279296875
Cabai Rawit Merah/Bengkulu/2024-11-09,29114.439453125
Cabai Rawit Merah/Bengkulu/2024-11-10,29080.541015625
Cabai Rawit Merah/Bengkulu/2024-11-11,29302.158203125
Cabai Rawit Merah/Bengkulu/2024-11-12,29296.162109375
Cabai Rawit Merah/Bengkulu/2024-11-13,29290.501953125
Cabai Rawit Merah/Bengkulu/2024-11-14,29067.912109375
Cabai Rawit Merah/Bengkulu/2024-11-15,29075.279296875
Cabai Rawit Merah/Bengkulu/2024-11-16,29114.439453125
Cabai Rawit Merah/Bengkulu/2024-11-17,29080.541015625
